Sell Information,,,,,
Enchanted Carrot,Chili Pepper,Exportable Carrots,Water Hydra Head, ,  
Orders:69,,Orders:10,"1,500,000 Coins",DestyVR,ended 3 minutes ago
Price:554.8 Coins,,"Price:9,380.4 Coins","900,000 Coins",CorpoCookie,ended 9 minutes ago
"Volume:3,115,319",,"Volume:37,071","899,000 Coins",worov,ended 16 minutes ago
"Average insta-sells:112,110,912 items/week",,"Average insta-sells:481,592 items/week","993,010 Coins",Awesm,ended 21 minutes ago
,,,"900,000 Coins",gibbgibb,ended 27 minutes ago
,,,"900,000 Coins",gibbgibb,ended 27 minutes ago
,,,"899,000 Coins",ZekromC,ended 27 minutes ago
,,,"1,000,000 Coins",CihanLCM,ended 28 minutes ago
,,,"1,000,000 Coins",JRoeseph,ended 28 minutes ago
,,,"1,000,000 Coins",RimiruZTempest,ended 28 minutes ago
,,,"994,999 Coins",38H4CERO,ended 29 minutes ago
,,,"980,000 Coins",Spxze,ended 29 minutes ago
